epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,957.927,1.41083,3.57256,2.15485,0.49605,0.45819,0.45267,0.25779,1.36776,3.03024,2.05756,0.000221691,0.000221691,0.000221691
2,1886.79,1.40047,2.64738,2.13852,0.56062,0.51664,0.55214,0.35615,1.38187,2.38286,1.90302,0.000400066,0.000400066,0.000400066
3,2815.2,1.37929,2.22174,2.10822,0.6316,0.50976,0.56608,0.3803,1.19654,2.00026,1.72234,0.000534419,0.000534419,0.000534419
4,3743.63,1.3447,1.97367,2.07705,0.73767,0.52692,0.64154,0.42237,1.24794,1.83699,1.7473,0.000468901,0.000468901,0.000468901
5,4670.49,1.3246,1.80093,2.03998,0.68181,0.61605,0.67481,0.45364,1.18587,1.5711,1.71492,0.000402868,0.000402868,0.000402868
6,5593.38,1.29522,1.67127,2.00786,0.69503,0.65497,0.69871,0.48332,1.11594,1.48061,1.63489,0.000336835,0.000336835,0.000336835
7,6515.86,1.26528,1.55767,1.97987,0.72577,0.6753,0.74639,0.54158,1.02475,1.33185,1.52946,0.000270802,0.000270802,0.000270802
8,7431.83,1.22467,1.44181,1.94496,0.76126,0.68178,0.76845,0.57466,0.96032,1.26573,1.49294,0.000204769,0.000204769,0.000204769
9,8344.38,1.20059,1.34003,1.91217,0.79336,0.7375,0.80131,0.60211,0.98532,1.17073,1.48558,0.000138736,0.000138736,0.000138736
10,9255.82,1.17254,1.25896,1.8823,0.83135,0.75281,0.82421,0.63153,0.9064,1.0928,1.41344,7.2703e-05,7.2703e-05,7.2703e-05
